Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	Rtr1	combined	Drop	758	807	948	1009.39
1	Rtr2	combined	Drop	461	491	577	614.692
1	Rtr3	combined	Drop	377	401	472	502.121
1	Rtr4	combined	Drop	1602	1038	2003	1297.8
1	Rtr5	combined	Drop	236	251	296	314.922
1	Rtr6	combined	Drop	3004	3200	3756	4000
1	Rtr7	combined	Drop	989	888	1237	1110.23
1	Rtr8	combined	Drop	373	397	467	496.844
1	Rtr9	combined	Drop	724	771	905	964.081
1	Rtr10	combined	Drop	0	0	0	0
1	Rtr11	combined	Drop	0	0	0	0
1	BTR1	combined	Drop	151	4	189	6.21387
1	BTR2	combined	Drop	264	8	331	10.8945
1	BTR3	combined	Drop	2583	85	3229	106.883
1	BTR32	combined	Drop	1885	64	2357	80.2822
1	BTR4	combined	Drop	296	9	370	12.1641
1	BTR42	combined	Drop	712	24	890	30.2539
1	BTP1	combined	Drop	549	584	687	731.165
1	BTP2	combined	Drop	544	579	681	724.764
1	BTP3	combined	Drop	1632	1736	2040	2171.21
1	BTP4	combined	Drop	563	599	704	749.221
1	BTP32	combined	Drop	1400	1491	1750	1864.21
1	BTP42	combined	Drop	424	452	531	565.646
1	Cons1	combined	Drop	352	12	441	15.3945
1	Cons2	combined	Drop	1091	38	1364	47.7764
1	Prod11	combined	Drop	101	108	127	135.405
1	Prod12	combined	Drop	0	0	0	0
1	Prod21	combined	Drop	0	0	0	0
1	Prod22	combined	Drop	427	455	534	569.389
2	Rtr1	combined	Drop	1935	2061	2230	2375.24
2	Rtr2	combined	Drop	1795	1913	2129	2268.52
2	Rtr3	combined	Drop	809	860	917	975.62
2	Rtr4	combined	Drop	3045	1526	3406	1648.28
2	Rtr5	combined	Drop	756	757	886	884.009
2	Rtr6	combined	Drop	3884	4137	4105	4372.35
2	Rtr7	combined	Drop	2533	1857	2920	2100.25
2	Rtr8	combined	Drop	877	933	1003	1067.21
2	Rtr9	combined	Drop	1914	2039	2212	2356.96
2	Rtr10	combined	Drop	0	0	0	0
2	Rtr11	combined	Drop	0	0	0	0
2	BTR1	combined	Drop	1138	37	1385	45.752
2	BTR2	combined	Drop	1656	54	2005	66.3564
2	BTR3	combined	Drop	4707	156	5239	173.79
2	BTR32	combined	Drop	4524	154	5184	176.993
2	BTR4	combined	Drop	1862	61	2254	74.5801
2	BTR42	combined	Drop	2711	92	3211	109.603
2	BTP1	combined	Drop	1490	1586	1726	1837.11
2	BTP2	combined	Drop	1724	1835	2020	2150.06
2	BTP3	combined	Drop	3306	3519	3725	3964.97
2	BTP4	combined	Drop	1399	1489	1608	1711.55
2	BTP32	combined	Drop	3540	3772	4076	4342.34
2	BTP42	combined	Drop	1875	1997	2238	2384.22
2	Cons1	combined	Drop	4040	141	4963	174.202
2	Cons2	combined	Drop	4432	155	5268	184.95
2	Prod11	combined	Drop	824	878	1005	1071.7
2	Prod12	combined	Drop	0	0	0	0
2	Prod21	combined	Drop	0	0	0	0
2	Prod22	combined	Drop	1591	1696	1882	2006.84
3	Rtr1	combined	Drop	1931	2057	1930	2056.06
3	Rtr2	combined	Drop	1899	2023	1925	2051
3	Rtr3	combined	Drop	693	738	665	707.557
3	Rtr4	combined	Drop	3870	1763	4077	1823.41
3	Rtr5	combined	Drop	801	843	813	864.981
3	Rtr6	combined	Drop	3604	3838	3534	3764.33
3	Rtr7	combined	Drop	2964	1789	3072	1772.96
3	Rtr8	combined	Drop	855	875	850	861.118
3	Rtr9	combined	Drop	1562	1664	1474	1570.52
3	Rtr10	combined	Drop	0	0	0	0
3	Rtr11	combined	Drop	0	0	0	0
3	BTR1	combined	Drop	2618	86	2988	99.085
3	BTR2	combined	Drop	2951	97	3275	108.533
3	BTR3	combined	Drop	4339	143	4248	140.865
3	BTR32	combined	Drop	5425	185	5651	192.952
3	BTR4	combined	Drop	3170	104	3497	115.903
3	BTR42	combined	Drop	2392	81	2313	78.9072
3	BTP1	combined	Drop	3207	3414	3637	3871.17
3	BTP2	combined	Drop	3064	3262	3400	3618.95
3	BTP3	combined	Drop	3954	4208	4116	4381.13
3	BTP4	combined	Drop	2980	3172	3376	3593.43
3	BTP32	combined	Drop	4599	4899	4864	5181.89
3	BTP42	combined	Drop	2964	3158	3237	3448.48
3	Cons1	combined	Drop	4195	147	4234	148.759
3	Cons2	combined	Drop	4696	164	4762	167.304
3	Prod11	combined	Drop	980	1045	1020	1087.68
3	Prod12	combined	Drop	44	47	56	59.7188
3	Prod21	combined	Drop	0	0	0	0
3	Prod22	combined	Drop	1991	2123	2092	2230.78
4	Rtr1	combined	Drop	1863	1985	1847	1967.46
4	Rtr2	combined	Drop	2130	2269	2188	2331.2
4	Rtr3	combined	Drop	973	1035	1043	1109.82
4	Rtr4	combined	Drop	4482	2185	4635	2291.04
4	Rtr5	combined	Drop	1025	1089	1082	1151.27
4	Rtr6	combined	Drop	3448	3673	3410	3632.29
4	Rtr7	combined	Drop	3016	1675	3030	1646.95
4	Rtr8	combined	Drop	776	819	757	805.437
4	Rtr9	combined	Drop	1494	1591	1477	1573.97
4	Rtr10	combined	Drop	0	0	0	0
4	Rtr11	combined	Drop	0	0	0	0
4	BTR1	combined	Drop	3848	127	4156	137.919
4	BTR2	combined	Drop	5163	171	5717	189.781
4	BTR3	combined	Drop	4774	158	4883	161.94
4	BTR32	combined	Drop	5733	195	5810	198.43
4	BTR4	combined	Drop	2908	96	2843	94.2773
4	BTR42	combined	Drop	4279	145	4751	162.238
4	BTP1	combined	Drop	4453	4740	4765	5071.91
4	BTP2	combined	Drop	4157	4425	4431	4716.37
4	BTP3	combined	Drop	5252	5590	5577	5936.29
4	BTP4	combined	Drop	3666	3902	3838	4085.18
4	BTP32	combined	Drop	6191	6595	6589	7019.61
